5.	1.6367235259246548e12
5.25	1.4484862927616052e12
5.5	1.2744982581630754e12
5.75	1.1278089416734292e12
6.	1.0005546143953789e12
6.25	8.893727796604736e11
6.5	7.93947203097121e11
6.75	7.121975966371589e11
7.	6.408216237523292e11
7.25	5.781890745570709e11
7.5	5.238083011206557e11
7.75	4.7555314411156635e11
8.	4.30907383188624e11
8.25	3.910716470105674e11
8.5	3.553916537427207e11
8.75	3.236266801119998e11
9.	2.9586657330731104e11
9.25	2.7103763183382928e11
9.5	2.4876491181787262e11
9.75	2.2872949134449924e11
10.	2.1065880498239072e11
10.25	1.943186020263856e11
10.5	1.8000767293086002e11
10.75	1.6713700094369092e11
11.	1.5552097386604782e11
11.25	1.443879708295721e11
11.5	1.3393596526802931e11
11.75	1.243529120958837e11
12.	1.1554799347982887e11
12.25	1.0747116082900241e11
12.5	1.0024133332599025e11
12.75	9.360949661962553e10
13.	8.751705067153648e10
13.25	8.191206941836937e10
13.5	7.674829354752396e10
13.75	7.198449945050594e10
14.	6.758385399491143e10
14.25	6.3513579231579216e10
14.5	5.974278588858241e10
14.75	5.627103453382922e10
15.	5.312581218971867e10
15.25	5.021793006552082e10
15.5	4.752674911944491e10
15.75	4.503367408311641e10
16.	4.272191065271061e10
16.25	4.043411541303135e10
16.5	3.823756665934567e10
16.75	3.618003740639867e10
17.	3.4251108076147644e10
17.25	3.244125128300396e10
17.5	3.074175968883642e10
17.75	2.914453662191778e10
18.	2.7673632031215446e10
18.25	2.63005553994476e10
18.5	2.5011694058767944e10
18.75	2.3801031401054e10
19.	2.2662556215409298e10
19.25	2.159151536234265e10
19.5	2.058338406776013e10
19.75	1.963386600654917e10
20.	1.873900062043842e10
20.25	1.7895143995493576e10
20.5	1.7098903610660036e10
20.75	1.634676230668816e10
21.	1.5636205925244532e10
21.25	1.496461263366437e10
21.5	1.4329502270915842e10
21.75	1.372857598548648e10
22.	1.3172979768071796e10
22.25	1.2649006614748337e10
22.5	1.2153841960054249e10
22.75	1.1685661370807468e10
23.	1.1242841741923086e10
23.25	1.0823832357292173e10
23.5	1.039834064781876e10
23.75	9.98244206806986e9
24.	9.586258952298546e9
24.25	9.208703510949808e9
24.5	8.848753226139456e9
24.75	8.5054533611169815e9
25.	8.177789847721742e9
25.25	7.864939036508458e9
25.5	7.566212705788698e9
25.75	7.280867161354115e9
26.	7.008200192907791e9
26.25	6.747564114713386e9
26.5	6.498335131495525e9
26.75	6.25995007819027e9
27.	6.034281420247238e9
27.25	5.820841885076353e9
27.5	5.616833357135874e9
27.75	5.421776786045365e9
28.	5.235223791561732e9
28.25	5.056750856420973e9
28.5	4.885958277606297e9
28.75	4.72246864647669e9
29.	4.56590163300552e9
29.25	4.415942977840592e9
29.5	4.272275705979342e9
29.75	4.1345991269820294e9
30.	4.0026291415787554e9
30.25	3.8760949958735003e9
30.5	3.7547401661385508e9
30.75	3.638326585757906e9
31.	3.5266261315377526e9
31.25	3.4194220744928217e9
31.5	3.3165088922166796e9
31.75	3.21769207209582e9
32.	3.1227867318162737e9
32.25	3.03161670756715e9
32.5	2.944011288263335e9
32.75	2.859813123623713e9
33.	2.7788358043405004e9
33.25	2.7009407688875003e9
33.5	2.6260245204885883e9
33.75	2.555407715699181e9
34.	2.4827133973636527e9
34.25	2.4101838420906653e9
34.5	2.3401903914727283e9
34.75	2.272631337714756e9
35.	2.2074092579415364e9
35.25	2.1444315281465762e9
35.5	2.083609474784782e9
35.75	2.024858288563157e9
36.	1.9680693628086228e9
36.25	1.913172237896756e9
36.5	1.8601147413728936e9
36.75	1.8088259806631908e9
37.	1.7592337029189847e9
37.25	1.7112748434767113e9
37.5	1.6648917422887695e9
37.75	1.6200250258191438e9
38.	1.5766180686674027e9
38.25	1.5346170200142045e9
38.5	1.4939701565586185e9
38.75	1.4546275186137643e9
39.	1.4165417816035001e9
39.25	1.3796673558833299e9
39.5	1.3439604978779292e9
39.75	1.3093790495366192e9
40.	1.2758830594460037e9
40.25	1.2434337907307591e9
40.5	1.211993767595327e9
40.75	1.1815274202248733e9
41.	1.1519999902445605e9
41.25	1.1233786271789787e9
41.5	1.095632863010096e9
41.75	1.0687322736203177e9
42.	1.0426476674259683e9
42.25	1.0173938238426741e9
42.5	9.932683940954502e8
42.75	9.698834231354588e8
43.	9.472134156912477e8
43.25	9.252337754998509e8
43.5	9.039160594757414e8
43.75	8.832245188692205e8
44.	8.631548456389648e8
44.25	8.436855987514514e8
44.5	8.247972528670462e8
44.75	8.064703628232471e8
45.	7.886863247345295e8
45.25	7.714270596863672e8
45.5	7.546752997382964e8
45.75	7.384143122410237e8
46.	7.226281177956663e8
46.25	7.073013534079969e8
46.5	6.924191359149474e8
46.75	6.779670077084831e8
47.	6.639309061473286e8
47.25	6.502974432173015e8
47.5	6.370512884492218e8
47.75	6.241828649897852e8
48.	6.116801295937165e8
48.25	5.995316536229804e8
48.5	5.877263330392686e8
48.75	5.762533385135031e8
49.	5.651023182508097e8
49.25	5.534344032347946e8
49.5	5.416257642444637e8
49.75	5.3011241836958444e8
50.	5.188859401284368e8
50.25	5.079382431867107e8
50.5	4.972614741836162e8
50.75	4.868476857634921e8
51.	4.7668984481767625e8
51.25	4.66780834691562e8
51.5	4.571137586302114e8
51.75	4.476813968033216e8
52.	4.3847758392952824e8
52.25	4.294961937600068e8
52.5	4.2073123621742284e8
52.75	4.121768818090805e8
53.	4.038274122770284e8
53.25	3.95677036500075e8
53.5	3.877205454915547e8
53.75	3.799528278277258e8
54.	3.724562857333296e8
54.25	3.651541893390114e8
