5.	3.2697291926564102e10
5.25	3.0081970637530083e10
5.5	2.766131661216487e10
5.75	2.5538139882090508e10
6.	2.359575052868082e10
6.25	2.1803703564292824e10
6.5	2.0191094315794483e10
6.75	1.8744716401937283e10
7.	1.741622893399558e10
7.25	1.618856591528244e10
7.5	1.506984683136847e10
7.75	1.4068365138060043e10
8.	1.3146634479795942e10
8.25	1.229442335561658e10
8.5	1.1503117361273954e10
8.75	1.0774436645414131e10
9.	1.011994685660518e10
9.25	9.514504257231897e9
9.5	8.952557029672316e9
9.75	8.429331784955298e9
10.	7.940704547332753e9
10.25	7.483094801404592e9
10.5	7.071472420191368e9
10.75	6.688816543765939e9
11.	6.331780325957695e9
11.25	5.997877319279422e9
11.5	5.684920157266007e9
11.75	5.390978029711562e9
12.	5.114340698811823e9
12.25	4.8544982605866165e9
12.5	4.61815414706086e9
12.75	4.3963898180275e9
13.	4.1879526227538247e9
13.25	3.9917231613587303e9
13.5	3.8066981986671333e9
13.75	3.6319764862149734e9
14.	3.466746440358025e9
14.25	3.310275449373839e9
14.5	3.1619005408037043e9
14.75	3.0222538384902134e9
15.	2.8934476006905856e9
15.25	2.77161892974065e9
15.5	2.656255369175003e9
15.75	2.5468911189339027e9
16.	2.4431016839726734e9
16.25	2.34449955501185e9
16.5	2.250730403078742e9
16.75	2.1614696838113456e9
17.	2.0764196296083825e9
17.25	1.9953065661487656e9
17.5	1.9178785169286375e9
17.75	1.843903085351021e9
18.	1.7750579304113061e9
18.25	1.7098773960892718e9
18.5	1.6477354635715704e9
18.75	1.5884444579649503e9
19.	1.531830907481918e9
19.25	1.477734273409124e9
19.5	1.4260058105772421e9
19.75	1.3765075438265407e9
20.	1.3291113340759833e9
20.25	1.2836980362150626e9
20.5	1.2401567359095705e9
20.75	1.1983840535347497e9
21.	1.1582835123396022e9
21.25	1.1197649704636128e9
21.5	1.0827441037405558e9
21.75	1.0471419368091228e9
22.	1.0138615994334626e9
22.25	9.819875040381514e8
22.5	9.513860488410798e8
22.75	9.219912275979313e8
23.	8.937412075714557e8
23.25	8.665780167572168e8
23.5	8.404472598243487e8
23.75	8.152978565229234e8
24.	7.910817989876753e8
24.25	7.677539299166293e8
24.5	7.452717383586781e8
24.75	7.235951706349858e8
25.	7.026864551454343e8
25.25	6.825099417763387e8
25.5	6.630319552137977e8
25.75	6.442206590231376e8
26.	6.260459291948723e8
26.25	6.08479246998574e8
26.5	5.914937603176986e8
26.75	5.75064211589538e8
27.	5.593836082494774e8
27.25	5.444372952899202e8
27.5	5.299982196006899e8
27.75	5.1604439897034436e8
28.	5.025550052902872e8
28.25	4.895102934820291e8
28.5	4.768915346725523e8
28.75	4.64680953322582e8
29.	4.5286166901468563e8
29.25	4.414176424140686e8
29.5	4.303336244964132e8
29.75	4.195951089787063e8
30.	4.0918828765282595e8
30.25	3.991000088739536e8
30.5	3.8931773924979967e8
30.75	3.7982952776885444e8
31.	3.706239720064067e8
31.25	3.6169018631033385e8
31.5	3.530177725565804e8
31.75	3.445968252336421e8
32.	3.364179624326834e8
32.25	3.284722424443816e8
32.5	3.2075112873425967e8
32.75	3.132464681484319e8
33.	3.059504704082956e8
33.25	2.9885568881976104e8
33.5	2.9195500214329195e8
33.75	2.85399596155153e8
34.	2.790367828404141e8
34.25	2.728535537805286e8
34.5	2.6684353047752404e8
34.75	2.6100060629471025e8
35.	2.5531893262842342e8
35.25	2.4979290578577673e8
35.5	2.4441715454940093e8
35.75	2.3918652839066944e8
36.	2.3409608629541183e8
36.25	2.2914108620872694e8
36.5	2.2431697524271208e8
36.75	2.1961938041963142e8
37.	2.1504409987862167e8
37.25	2.1058709450736648e8
37.5	2.062444799913612e8
37.75	2.02012519280349e8
38.	1.9788761641640392e8
38.25	1.9386632867625698e8
38.5	1.8994536796303126e8
38.75	1.861215744786248e8
39.	1.8239190952723774e8
39.25	1.7875345001685157e8
39.5	1.752033832435745e8
39.75	1.7173900192954773e8
40.	1.6835769951867148e8
40.25	1.6505696570285058e8
40.5	1.61834382182082e8
40.75	1.5868761872174418e8
41.	1.5561442935900757e8
41.25	1.5261264868450758e8
41.5	1.496801883601105e8
41.75	1.4681503378668082e8
42.	1.4401524097142363e8
42.25	1.4128492484848824e8
42.5	1.3866783717897943e8
42.75	1.3611196576910487e8
43.	1.3361552902376336e8
43.25	1.3117680652728821e8
43.5	1.2879413642962617e8
43.75	1.2646591302698833e8
44.	1.2419058444285423e8
44.25	1.2196665041449766e8
44.5	1.1979266016847607e8
44.75	1.1766721038209656e8
45.	1.1558894323101321e8
45.25	1.1355654451803468e8
45.5	1.1156874191348334e8
45.75	1.0962430361163732e8
46.	1.0772204320054644e8
46.25	1.0586082065709324e8
46.5	1.0403953367256013e8
46.75	1.0225711572712943e8
47.	1.0051253471742992e8
47.25	9.880479164372559e7
47.5	9.713291935462435e7
47.75	9.549598134085384e7
48.	9.389307058355375e7
48.25	9.232330845087121e7
48.5	9.078584363803294e7
48.75	8.927985115902399e7
49.	8.780453140661508e7
49.25	8.635910923861834e7
49.5	8.49428330601553e7
49.75	8.355497396554923e7
50.	8.219482491556579e7
50.25	8.086169993787943e7
50.5	7.95549333799092e7
50.75	7.827387918508571e7
51.	7.701791018817754e7
51.25	7.578641744241737e7
51.5	7.457880956976795e7
51.75	7.339451213190912e7
52.	7.223296703067966e7
52.25	7.10936319173638e7
52.5	6.99759796537716e7
52.75	6.887949778627777e7
53.	6.780368804518515e7
53.25	6.674806585656073e7
53.5	6.571215987338231e7
53.75	6.4695511521684065e7
